Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist I - 637,-1,"Onsite/ Hybrid/ Remote
This job is remote!
About Us
O'Neil Global Advisors (OGA) is an investment advisor that builds algorithmic strategies based on proprietary quantitative factor research pioneered by investing legend William J. O'Neil. Bill's methodology has achieved consistent success over more than five decades, and OGA's strategies provide our clients with an exclusive way to capture the success of his powerful and disciplined approached to investing.We develop strategies that are inspired by Bill's disciplined quantitative approach and incorporate his desire for constant improvement through ongoing backtesting.",-1,"O'Neil Global Advisors, Inc.","Austin, TX",-1,-1,-1,-1,-1,-1
Data Scientist II,Employer Provided Salary:$106K - $180K,"At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 14,000+ branch offices where our more than 7 million clients live and work.

A typical branch office has one financial advisor who meets with clients face-to-face and one branch office administrator who enhances the team's ability to build deep relationships with clients. Headquarters associates in St. Louis and Tempe provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. Edward Jones currently has more branch offices than any other financial services firm, and we continue to grow to meet the needs of long-term individual investors.
Firm Analytics
Senior Data Scientist
The Senior Data Scientist is responsible for the design and development of complex mathematical methods, machine learning and statistical models in support of data driven strategies. The role requires the ability to leverage data from multiple sources to develop innovative solutions to business problems.

An ideal candidate must be able to work closely with business partners to identify and develop tailored analytic solutions. A senior data scientist will be responsible for leading projects from design through implementation and final delivery to internal business partners.


Salary: $105753 - $180067
Category: Headquarters",4.0,"EDWARD JONES
4.0","Saint Louis, MO",10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Data Scientist,$67K - $121K (Glassdoor est.),"Infosys is seeking a Sr. Lead Analyst – Analytics Technology. The position will primarily be responsible to interface with key stakeholders, collaborate with business users to assess and elaborate Analytics use cases and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for a module, lead validation for all types of testing and support activities related to implementation, transition, and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.

Required Qualifications:
Candidate must be located within commuting distance of Raleigh, NC or be willing to relocate to the area. This position may require travel in the US.







Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

To learn more about Infosys and our ideas see in action please visit us at www.Infosys.com",3.3,"Infosys
3.3","Raleigh, NC",10000+ Employees,1981,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$83K - $118K,"Data Scientist
The Clock Foundation seeks a highly motivated individual to join our dynamic team developing epigenetic aging clocks applying them to our mission of speeding the availability of treatments that prolong health and life expectancy.
Essential
A PhD (or equivalent experience) in a relevant scientific subject including but not limited to bioinformatics, biostatistics, or computational biology, with research experience in academia or industry
Proficiency with R for statistical programming
Proven ability to deliver high quality novel research in bioinformatics, biostatistics, or computational biology, for example through journal publications",-1,Clock Foundation,"Torrance, CA",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Who We Are
Insurity is a leading property and casualty insurance software and data analytics provider, working with some of the world’s largest insurers, brokers, and MGAs, including 15 of the top 25 P&C carriers in the US. With 900+ team members globally, 10 office locations, and 300+ customers, we have a deep understanding of the insurance business, unparalleled technology expertise, and a singular focus of delivering a simplified insurance experience to our customers.
Insurity's next Data Scientist
Our Data Scientist will be an integral part of Insurity Analytics, working closely and collaboratively with insurance domain authorities, data analysts, engineers, and customers. They will develop highly robust predictive models that provide significant and measurable results for our customers. Additionally, they will partner with the sales and marketing teams to perform then deliver modeling proofs-of-concept & retro-tests, as well as help craft and deliver compelling product performance reads, product & concept education, and value proposition messaging.",3.8,"Insurity
3.8",Remote,501 to 1000 Employees,1971,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Senior Data Scientist,Employer Provided Salary:$110K - $140K,"We’re looking for a Senior Data Scientist to join our growing Engineering team. Use the power of healthcare data to find insights that will demonstrate the value we are delivering to our customers, help improve patient outcomes, and expand the scope of our mission. You’ll need strong data chops, an agile mindset, and a love for adventure as you work as a key individual contributor on our growing Data Team.
What You’ll Do:
Lead efforts to evaluate impact of our programs and services and demonstrate impact to customers and through Marketing efforts.
Support projects with data insights that improve our organizational decision-making, business and program performance, and patient and pharmacists experience.
Build and maintain dashboards that enable a culture of self-service data access and literacy, manage ad hoc reporting requests, and collaborate with organizational stakeholders to execute data analytics projects and share resulting business insights.",-1,Confidential,Remote,-1,-1,-1,-1,-1,-1
Energy / V2X - Applied Data Scientist - V2G,$55K - $109K (Glassdoor est.),"Job Description

TheEnergy / V2X Applied Data Scientistwill be responsible for the creation and development of analytic \ algorithm solutions for our the next generation digital\data platform that will host and enable the suite of V2X, VGI and related integrated asset capabilities that will allow GM to improve the value and resilience benefits of its vehicles.
Work closely with other GM leaders to ensure integration of the platform with functions associated with bidirectional charging, V2H, V2L, V2G and other advanced V2X functions
Understand, guide, and encourage a vision for a data ecosystem that will be the backbone of the V2X solutions

Our data scientists \ analysts are creative problem solvers involved in close interaction with the entire CORE scrum team, development team leaders, business team members and other members of the extended IT development team. Our role will demand a high level of design and data engineering \ analytics to implement and deliver new insights and machine learning models. There will be ample opportunities to expand on your technical experience, with extensive exposure to the GM business teams and processes. Applied Data Scientists provide leadership and technical expertise to enable multi-layered solutions that comprehend and specify business, application, data and infrastructure designs. The ideal candidate for this role will possess a passion for technology and a desire to improve our application portfolio while maintaining high quality and flexibility.

Applicants should have strong core data \ code skills and some additional technical skills and proven track record with:







Experience or knowledge with some or all of the following tools:



Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.



The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",4.0,"General Motors
4.0","Roswell, GA",10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Clinical Data Scientist,Employer Provided Salary:$102K - $152K,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
$102,400.00 - $152,200.00",3.9,"Vizient, Inc.
3.9",Remote,1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Senior Data Scientist - Ads Optimization,Employer Provided Salary:$153K - $223K,"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist,-1,"Company Summary: A leading Medical Malpractice Insurance Firm in the US with over a billion dollars in written premium is looking to hire a Data Scientist. The firm is looking to add someone who is passionate about data and applying the latest machine learning technology to solve business problems. This role is fully remote and is an urgent hire!
The Data Scientist will be responsible for:
Developing and implementing machine learning technologies
Identify and propose new technologies and tools that could be of benefit
Leading proactive communication to all departments
Mentor junior level data scientists
The Data Scientist must have the following qualifications:",-1,Selby Jennings,Remote,201 to 500 Employees,2004,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Junior Data Scientist,-1,"Description
Job Description:
Looking for an exciting career change in the hottest job market ever?
Do you have very strong general knowledge of machine learning and artificial intelligence that can contribute to various machine learning (ML) and artificial intelligence (AI) projects in the Leidos AI/ML Accelerator as our latest Junior Data Scientist? If so, we need someone who has experience finding and aligning signals across multiple modalities (image, video, audio, lidar, etc..). Along with those skills, we need you to have demonstrated ability working independently and in technical teams to implement and customize algorithms to fusion multiple data modalities. In this data scientist position at our Leidos Arlington, VA. office, we need you to use your strong Python coder experiene with knowledge in using ML libraries like SciKit Learn, TensorFlow, Keras on both CPU and GPU compute architectures. Sound fun?",3.9,"Leidos
3.9","Arlington, VA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Jr. Data Scientist,Employer Provided Salary:$60K - $91K,"Job Description
We're looking for an entry-level Sports, Math, and CS nerd! This person should be excited to solve complex problems by applying the combination of a mathematics background with intuition and the feedback of experts in the field.
The successful Jr Data Scientist at Event Dynamic will utilize strong problem-solving skills, programming know-how, and business analytics to solve real-world dynamic pricing problems at scale. This role will be highly involved in the development of the core AI-driven pricing product and will be expected to make key business decisions on complex real-world problems. This position will interface with the subject matter experts and machine learning team to communicate business impacts of technical decisions.
Job Responsibilities",-1,Event Dynamic,"Dallas, TX",-1,-1,-1,-1,-1,-1
Principal Data Scientist - Match Recommendations,Employer Provided Salary:$223K - $324K,"Your Job
The Match Recommendations team builds machine learning models that recommend best-match jobs to job seekers on Indeed. The team’s mission is to build the world’s best AI matchmaker that can connect all jobseekers with their next job. To achieve this, the team leverages unparalleled rich data and state-of-the-art machine learning systems to deliver the highest quality matches to jobseekers and employers.

As a Principal Data Scientist on the Match Recommendations team, you will:
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Senior Data Scientist,$76K - $138K (Glassdoor est.),"You may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by Chevron Phillips Chemical. From medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.

Even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. Ask any Chevron Phillips Chemical employee what they like best about their job, and universally, the answer is “the people I work with!” We value work-life balance, and love to see our employees thrive both professionally and personally. There has never been a better time to work for Chevron Phillips Chemical. If you’re ready to grow with us and become part of our vision of being the premier Chemical Company, apply today!",3.7,"CPChem
3.7","The Woodlands, TX",5001 to 10000 Employees,2000,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,$71K - $145K (Glassdoor est.),"What you'll do...

At H&R Block, your contributions will go far beyond any job description. When you join our team, you'll add to the momentum of a forward-thinking company - one that defined an industry and is now leading it's transformation.

You will work as a member of the Machine Learning Lab where expert data scientists and lifelong learners will feel at home and thrive. This team produces impactful results while gaining and creating knowledge along the way. Our purpose is to build persistent data-science models with a production focus for H&R Block.

Data Scientist: Works as a team member to integrate and build meaningful solutions from multiple data sources. Serves as an internal consultant in identifying opportunities to improve decision making and client experience through the application of AI / ML.






#hrbjob #LI-DM1",3.8,"H&R Block
3.8","Kansas City, MO",10000+ Employees,1955,Company - Public,Other Retail Stores,Retail,$2 to $5 billion (USD)
Staff Applied Scientist,Employer Provided Salary:$147K - $213K,"Your Job
The SMB Monetization Group focuses on growth and monetization for Indeed's flagship employer product. Every day, we help employers around the world post jobs and find the best candidates. Our team works on many of the highest impact strategic initiatives at the company's marketplace.

You will be responsible for the team that defines the value proposition for small to medium businesses. The Monetization team builds experiences that help employers select the right products to help them make a hire.
One of our core principles is a dedication to data-driven decision-making. To do that well, we need product scientists with a strong product sensibility to work alongside our product managers and technical leads.",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist - Cereals Crop Modeling,$52K - $101K (Glassdoor est.),"Basic Qualifications:
PhD with 2 years of experience or MS with 3 years of experience in Data Science, Statistics, Applied Mathematics, Machine Learning, or another highly quantitative discipline
Strong Python coding skills for data science including experience with standard data science packages (e.g., numpy, pandas, matplotlib, seaborn, sklearn)
Ability to learn new quantitative domains and modeling techniques
Self-motivated and able to work independently as well as part of a team
Strong communication skills for effective interactions with business stakeholders as well as peer groups and team members
Preferred Qualifications:",5.0,"Envision
5.0","Saint Louis, MO",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Predictive Modeler,Employer Provided Salary:$75K - $125K,"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners.",3.3,"Lancer Insurance Company
3.3",Remote,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
"Lead Data Scientist, Forecasting",$64K - $128K (Glassdoor est.),"Overview:
As a Lead Data Scientist, you will be responsible for leading significant role-specific forecasting project work as part of a larger, cross-functional team in support of one or more lines of business. Lead Data Scientists typically leverage and implement pre-defined analytics patterns and infrastructure on projects that are moderately complex, requiring working knowledge of a more limited set of machine learning or advanced modeling forecasting approaches. They must be able to quickly learn new subject-matter in support of a specific project or task. Our Lead Data Scientists typically work with latitude for action or decisions on specific projects, solutions, or technical issues. They may represent Enterprise Analytics, the team's sub-department, in internal conversations. Successful candidates for this role must have strong analytical and research skills, a strong understanding of statistics and statistical modeling, a basic understanding of modern machine learning and its mathematical underpinnings, and they must have moderate programming skills with SQL, R and/or Python. They will need to be fast learners with a keen eye for detail, systems thinking, and process design. They must be team players who work steadfastly to create impactful change. This is a professional track role.
Responsibilities:
Minimum Qualifications:
Preferred Qualifications:
Travel Requirements: 20% Required Level of Education: Bachelor's Degree Preferred Level of Education: Masters Degree Major/Concentration: Quantitative or Technical Degree Program Minimum GPA (4.0 Scale): 3.2",3.9,"Chick-fil-A, Inc.
3.9","Atlanta, GA",5001 to 10000 Employees,1946,Company - Private,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$5 to $10 billion (USD)
NLP Data Scientist,Employer Provided Salary:$130K - $180K,"Our mission is to bring health, wellbeing, and a bit of magic to every family.
We started by improving children's sleep, and our popular app has 4.9 out of 5.0 stars on the App Store. While we will continue to build out the existing offering, we are excited to broaden our help to families into new areas, in fresh ways that make pediatric expertise accessible to all.
You would join our growing team that includes Berkeley Ph.D.s in computer science and predictive analytics, user-centric designers, and experienced pediatric experts trained in evidence-based practices.
The Opportunity
We are excited to expand the AI and ML team to include a Data Scientist with expertise in Natural Language Processing. The position will help us to expand our capabilities utilizing our large corpus of unstructured text data. The person will be expected to perform duties such as: researching and building machine learning solutions using text data, feature engineering using text data, and developing solutions utilizing state-of-the-art methods for Analytics and Machine Learning. These will allow for AI, ML, and Analytics to use new data types in models and gain insight into our data.",5.0,"Engtal
5.0",Remote,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
